signal_id	pair	timestamp_utc	direction	entry_price	sl_price	tp_price	sl_pips	tp_pips	atr	m15_close_24h_ago	m15_close_12h_ago	m15_close_1h_ago	related_eur_usd_24h_change_pct	related_usd_jpy_24h_change_pct	related_gbp_usd_24h_change_pct	day_of_week	hour_utc	is_tokyo_session	is_london_session	is_ny_session
GBP_JPY_01830_20251103_163000	GBP_JPY	2025-11-03T16:30:00+00:00	short	202.192	202.37425	201.8275	18.23	36.45	0.1215	202.008	202.453	202.476	-0.2479	0.0071	-0.0046	0	16	0	0	1
GBP_JPY_01831_20251104_021500	GBP_JPY	2025-11-04T02:15:00+00:00	short	202.432	202.56014	202.17571	12.81	25.63	0.085429	202.458	202.487	202.544	-0.1527	0.1057	-0.0845	1	2	1	0	0
GBP_JPY_01832_20251104_031500	GBP_JPY	2025-11-04T03:15:00+00:00	long	202.656	202.503	202.962	15.3	30.6	0.102	202.416	202.451	202.438	-0.1475	0.1389	-0.0807	1	3	1	0	0
GBP_JPY_01833_20251104_043000	GBP_JPY	2025-11-04T04:30:00+00:00	short	202.331	202.4855	202.022	15.45	30.9	0.103	202.453	202.194	202.535	-0.1778	0.0136	-0.1172	1	4	1	0	0
GBP_JPY_01834_20251104_061500	GBP_JPY	2025-11-04T06:15:00+00:00	short	202.127	202.29671	201.78757	16.97	33.94	0.113143	202.461	202.63	202.412	-0.2133	-0.0084	-0.1339	1	6	1	0	0
GBP_JPY_01835_20251104_071500	GBP_JPY	2025-11-04T07:15:00+00:00	short	201.836	202.03668	201.43464	20.07	40.14	0.133786	202.544	202.681	202.135	-0.1942	-0.253	-0.1537	1	7	1	1	0
GBP_JPY_01836_20251104_080000	GBP_JPY	2025-11-04T08:00:00+00:00	short	201.565	201.78818	201.11864	22.32	44.64	0.148786	202.622	202.597	201.932	-0.1257	-0.3645	-0.1712	1	8	1	1	0
GBP_JPY_01837_20251104_100000	GBP_JPY	2025-11-04T10:00:00+00:00	short	201.175	201.49032	200.54436	31.53	63.06	0.210214	202.471	202.599	201.502	0.0043	-0.2985	-0.2416	1	10	0	1	0
GBP_JPY_01838_20251104_113000	GBP_JPY	2025-11-04T11:30:00+00:00	short	200.593	200.971	199.837	37.8	75.6	0.252	202.334	202.591	201.326	-0.1164	-0.4417	-0.4754	1	11	0	1	0
GBP_JPY_01839_20251105_023000	GBP_JPY	2025-11-05T02:30:00+00:00	short	199.637	199.82375	199.2635	18.67	37.35	0.1245	202.461	200.541	200.069	-0.212	-0.7153	-0.8046	2	2	1	0	0
GBP_JPY_01840_20251105_030000	GBP_JPY	2025-11-05T03:00:00+00:00	short	199.299	199.52046	198.85607	22.15	44.29	0.147643	202.603	200.497	199.981	-0.1798	-0.7562	-0.8313	2	3	1	0	0
GBP_JPY_01841_20251105_081500	GBP_JPY	2025-11-05T08:15:00+00:00	long	200.141	199.94536	200.53229	19.56	39.13	0.130429	201.531	200.044	200.025	-0.3072	0.0247	-0.7315	2	8	1	1	0
GBP_JPY_01842_20251105_100000	GBP_JPY	2025-11-05T10:00:00+00:00	long	200.388	200.13043	200.90314	25.76	51.51	0.171714	201.177	200.045	200.001	-0.218	-0.0989	-0.3575	2	10	0	1	0
GBP_JPY_01843_20251105_143000	GBP_JPY	2025-11-05T14:30:00+00:00	long	200.474	200.27825	200.8655	19.58	39.15	0.1305	200.541	199.639	200.15	0.0148	0.1185	-0.1875	2	14	0	1	1
GBP_JPY_01844_20251105_170000	GBP_JPY	2025-11-05T17:00:00+00:00	long	200.905	200.68321	201.34857	22.18	44.36	0.147857	200.31	199.643	200.55	-0.1088	0.6011	-0.036	2	17	0	0	1
GBP_JPY_01845_20251106_144500	GBP_JPY	2025-11-06T14:45:00+00:00	long	201.224	200.96482	201.74236	25.92	51.84	0.172786	200.464	200.976	201.124	0.3455	-0.0657	0.4463	3	14	0	1	1
GBP_JPY_01846_20251106_191500	GBP_JPY	2025-11-06T19:15:00+00:00	short	200.382	200.73364	199.67871	35.16	70.33	0.234429	200.973	200.985	200.661	0.5252	-0.6886	0.6381	3	19	0	0	1
GBP_JPY_01847_20251107_023000	GBP_JPY	2025-11-07T02:30:00+00:00	long	201.239	200.99525	201.7265	24.38	48.75	0.1625	201.0	201.017	200.878	0.3374	-0.4607	0.5337	4	2	1	0	0
GBP_JPY_01848_20251107_053000	GBP_JPY	2025-11-07T05:30:00+00:00	short	200.768	200.97939	200.34521	21.14	42.28	0.140929	201.023	200.536	200.912	0.2711	-0.5271	0.4226	4	5	1	0	0
GBP_JPY_01849_20251107_081500	GBP_JPY	2025-11-07T08:15:00+00:00	long	201.306	201.13757	201.64286	16.84	33.69	0.112286	200.982	200.986	200.957	0.2068	-0.3052	0.4581	4	8	1	1	0
GBP_JPY_01850_20251107_130000	GBP_JPY	2025-11-07T13:00:00+00:00	short	200.78	201.01529	200.30943	23.53	47.06	0.156857	201.062	200.966	200.985	0.329	-0.3352	0.2292	4	13	0	1	1
